vendor_id,vendor_name,overall_rating,total_reviews,on_time_delivery_percent,quality_score,customer_service_score,value_for_money,repeat_customer_rate,avg_resolution_hours,unresolved_complaints
VEN-2024-001,TechCore Solutions Pte Ltd,4.9,267,92,5.0,5.0,4.7,95,17.0,4
VEN-2024-002,GreenBuild Supplies Co.,4.6,122,92,4.5,4.6,4.1,95,13.3,2
VEN-2024-003,MediEquip Healthcare Supplies,4.8,357,99,5.0,4.2,4.6,95,25.9,5
VEN-2024-004,Precision Manufacturing Tools Ltd,4.5,182,84,4.7,4.8,4.0,95,9.4,7
VEN-2024-005,OfficeHub Corporate Supplies,4.6,123,99,4.2,4.7,4.3,95,24.8,3
VEN-2024-006,ChemLab Scientific Solutions,4.9,199,96,4.8,5.0,4.7,95,15.1,1
VEN-2024-007,SafetyFirst Industrial Gear,4.7,232,97,4.4,4.7,4.0,95,13.5,2
VEN-2024-008,FleetPro Automotive Solutions,4.7,183,88,4.4,4.3,4.6,95,1.8,2
VEN-2024-009,DataSecure IT Services,4.7,97,99,4.2,4.7,4.2,95,14.0,1
VEN-2024-010,FoodService Pro Catering Supplies,4.6,135,89,4.4,4.5,4.1,95,19.4,0
VEN-2024-011,PowerGen Energy Solutions,4.9,89,99,4.5,4.4,4.8,95,12.6,0
VEN-2024-012,CleanTech Facilities Management,4.3,327,85,4.3,3.6,4.8,81,27.7,2
VEN-2024-013,TeleComm Networks Asia,4.7,147,92,5.0,4.1,3.9,95,24.1,5
VEN-2024-014,SmartBuild Construction Tech,4.2,150,84,4.1,3.9,4.3,95,28.5,9
VEN-2024-015,BioTech Laboratory Systems,4.6,127,99,4.3,4.6,4.2,95,12.8,1
VEN-2024-016,Golden Lotus Catering Services,4.5,140,99,4.4,4.6,4.2,95,9.5,2
VEN-2024-017,Spice Route Indian Catering,4.5,306,96,4.1,4.4,3.8,95,9.7,0
VEN-2024-018,Salam Delights Halal Catering,4.5,110,94,4.6,4.6,4.3,95,19.5,2
VEN-2024-019,East Meets West Fusion Catering,4.6,269,84,4.3,4.4,4.4,93,29.0,5
VEN-2024-020,Hometown Peranakan Kitchen,4.9,256,94,4.8,4.9,5.0,95,12.7,1